Name,Abundance,Canopy,Carbon,Height
Magnolia kobus,1,0.8,3.6,3.5
Crataegus monogyna,5,6.839999999999999,41.52,4.2
Acer saccharinum,89,42.19438202247192,314.9022471910112,10.258426966292134
Cedrus,9,67.89999999999999,2692.255555555556,17.644444444444442
Acer monspessulanum,13,13.153846153846153,155.07692307692307,4.253846153846154
Ginkgo biloba,59,32.41016949152539,238.70338983050846,10.420338983050847
Ligustrum lucidum,36,23.17777777777778,234.19722222222222,7.027777777777778
Ficus carica,10,18.6,195.73999999999998,4.37
Pterocarya,6,32.15,75.48333333333333,6.0
Olea europaea,13,16.092307692307692,130.91538461538462,4.0
Pinus coulteri,2,63.6,1194.5,10.0
Quercus petraea,38,31.54473684210525,287.7921052631579,8.581578947368422
Abies alba,31,29.08064516129032,271.19032258064516,12.187096774193549
Cedrus libani,52,97.64423076923079,3793.123076923077,20.596153846153854
Chamaecyparis lawsoniana,18,10.655555555555553,203.03888888888892,12.5
Hibiscus syriacus,2,1.1,10.0,2.25
Sequoiadendron giganteum,3,40.06666666666667,4794.233333333334,18.666666666666668
Pyrus,12,9.033333333333331,115.09166666666665,5.075
Lagerstroemia indica,15,0.8266666666666668,3.686666666666666,2.753333333333333
Thuja orientalis,36,19.647222222222233,250.86111111111111,6.697222222222218
Morus,4,24.175,85.62500000000001,6.475
Pseudotsuga menziesii,31,27.487096774193553,235.23548387096778,16.070967741935483
Crataegus x lavallei,11,4.154545454545454,20.854545454545455,4.0
Acer buergerianum,35,9.982857142857151,49.49714285714287,4.628571428571429
Paulownia tomentosa,23,53.76521739130435,392.1608695652175,9.721739130434784
Prunus mahaleb,11,50.300000000000004,120.9,6.0
Diospyros lotus,7,18.657142857142855,554.4428571428572,9.828571428571427
Prunus laurocerasus,7,94.82857142857142,76.45714285714284,6.0
Ligustrum,15,18.759999999999998,313.9933333333332,5.933333333333334
Magnolia grandiflora,60,7.041666666666674,60.041666666666636,4.7266666666666675
Ilex aquifolium,19,3.9157894736842107,33.45789473684211,3.210526315789474
Platanus,27,172.99999999999994,3195.4185185185197,18.77777777777778
Acer palmatum,41,22.22682926829269,260.08780487804864,8.665853658536584
Tilia x vulgaris,19,6.231578947368419,55.70526315789474,4.705263157894737
Ailanthus altissima,11,48.23636363636363,2175.6454545454544,13.690909090909093
Cornus mas,2,7.1,70.5,4.0
Eriobotrya japonica,3,6.1000000000000005,228.70000000000002,5.0
Gleditsia triacanthos,60,32.73166666666665,189.68833333333342,6.475
Laburnum anagyroides,1,21.7,233.3,8.0
Larix decidua,9,19.72222222222222,88.3777777777778,7.888888888888889
Laurus nobilis,6,27.399999999999995,539.8666666666667,5.0
Magnolia,6,8.516666666666667,46.76666666666667,4.75
Picea pungens,11,14.799999999999999,271.3,8.363636363636363
Picea,5,28.679999999999996,915.28,13.780000000000001
Picea obovata,4,11.225,269.6,6.0
Pinus bungeana,1,19.6,293.8,19.0
Platanus orientalis,22,132.6863636363636,1290.4636363636366,14.818181818181818
Populus,6,49.81666666666666,4872.2,18.016666666666666
Pterocarya rhoifolia,13,38.64615384615385,536.0692307692306,6.653846153846154
Quercus pubescens,67,33.90895522388062,27.09999999999997,12.5
Rhus typhina,1,19.6,12.3,2.0
Salix x sepulcralis v. chrysocoma,2,21.7,455.9,8.0
Sorbus thuringiaca,8,14.287499999999998,1981.975,4.25
Taxus baccata,47,32.117021276595736,496.44893617021273,8.263829787234043
Thuja,9,10.488888888888887,179.83333333333337,5.388888888888889
Tilia x euchlora,15,26.946666666666665,177.94000000000003,6.713333333333334
Ulmus laevis,3,28.8,880.1666666666666,11.0
Davidia involucrata,10,18.22,225.99,5.6
Clerodendrum trichotomum,25,6.951999999999999,27.04000000000001,3.52
Ligustrum japonicum,23,5.039130434782606,28.317391304347826,3.1739130434782608
Prunus padus,6,31.950000000000003,125.08333333333333,7.5
Photinia x fraseri,10,11.449999999999998,44.67,3.9
Photinia serrulata,5,2.6399999999999997,15.8,2.3
Prunus lusitanica,1,3.1,74.3,4.0
Quercus cerris,5,1.2,12.2,4.1
Populus tremula,2,86.75,3455.3,12.0
Zelkova carpinifolia,5,0.8,12.24,3.9
Acer x freemanii,26,3.9538461538461545,37.649999999999984,3.769230769230769
Eucalyptus cordata,1,3.1,3.2,4.5
Picea glauca,5,22.32,231.85999999999999,8.2
Betula nigra,20,17.335,224.76,9.65
Betula,103,10.333980582524271,122.58834951456303,4.902912621359223
Picea sitchensis,1,7.1,132.2,5.0
Malus floribunda,19,7.505263157894734,94.33684210526314,4.2631578947368425
Sorbus torminalis,7,17.74285714285714,161.41428571428565,4.285714285714286
Prunus amygdalus,1,0.8,25.3,3.0
Arbutus unedo,2,0.8,24.4,3.0
Cupressus arizonica,6,29.983333333333334,2469.6000000000004,9.833333333333334
Abies,8,23.475,805.775,8.125
Ulmus glabra,26,57.619230769230754,1791.9884615384615,12.25
Chamaecyparis,3,11.333333333333334,517.1333333333333,6.833333333333333
Cupressus torulosa,3,22.0,487.6666666666667,7.666666666666667
Thuja plicata,2,7.1,15.15,6.0
Cupressus lusitanica,3,30.900000000000002,1644.8,12.666666666666666
Pinus pinaster,3,17.833333333333332,257.23333333333335,8.0
Pinus cembra,1,38.5,447.5,9.0
Pinus halepensis,3,28.3,374.6666666666667,15.666666666666666
Abies pinsapo,1,63.6,508.1,14.0
Betula lenta,1,7.1,50.8,5.0
Aesculus,1,176.7,7500.0,24.0
Alnus cordata,1,50.3,456.1,18.0
Catalpa,1,38.5,1006.4,11.0
Albizia julibrissin,3,76.7,422.6000000000001,9.666666666666666
Tamarix gallica,1,7.1,271.9,3.0
Acer tataricum,1,3.1,8.6,4.0
Salix alba,2,39.3,490.5,10.5
Maclura pomifera,2,3.1,48.4,3.0
Alnus incana,10,25.71,174.51000000000005,8.3
Torreya nucifera,1,28.3,941.0,19.0
Juniperus drupacea,4,13.725000000000001,1477.6999999999998,12.25
Calocedrus decurrens,1,12.6,447.8,16.0
Jasminum,2,21.7,320.9,8.0
Wisteria sinensis,4,21.7,233.3,1.35
Corylus avellana,12,0.6833333333333331,187.70000000000002,2.858333333333333
Cornus sanguinea,2,21.7,241.3,8.0
Viburnum sieboldii,2,21.7,285.2,8.0
Berberis thunbergii,21,21.699999999999992,519.2000000000002,0.16666666666666669
Cornus,8,2.1,22.0,2.2125
Corylus maxima,6,21.7,361.0,2.1166666666666667
Punica granatum,2,21.7,266.3,8.0
Hedera helix,2,21.7,343.85,2.5
Buxus sempervirens,16,21.699999999999992,402.42499999999995,1.8250000000000002
Cornus nuttallii,1,21.7,205.8,3.5
Lonicera,3,21.7,266.1,1.5
Philadelphus pubescens,2,21.7,396.2,2.5
Parthenocissus,13,21.699999999999992,343.1,3.0
Juniperus chinensis,6,21.7,227.29999999999998,2.5
Pittosporum tobira,3,3.1,396.4666666666667,1.6666666666666667
Elaeagnus,2,21.7,339.5,1.0
Spiraea japonica,2,21.7,396.2,1.0
Osmanthus fragrans,3,21.7,240.86666666666665,2.5
Spiraea,2,21.7,396.2,1.55
Rhododendron obtusum,3,21.7,465.23333333333335,0.5
Calycanthus,2,21.7,569.3,1.5
Zanthoxylum flavum,1,21.7,334.4,8.0
Viburnum,2,21.7,285.2,8.0
Syringa vulgaris,1,21.7,320.9,8.0
Forsythia viridissima,1,21.7,320.9,8.0
Elaeagnus pungens,7,21.699999999999996,351.8428571428572,8.0
Aucuba japonica,2,21.7,356.04999999999995,8.0
Salix magnifica,3,21.7,455.8999999999999,8.0
Philadelphus,3,21.7,396.2,2.5
Forsythia x intermedia,1,21.7,320.9,8.0
