Name,Canopy,Carbon,Height
Pyrus communis,7.1,107.4,4.0
Celtis australis,50.3,39.2,8.0
Betula pendula,78.5,338.9,10.0
Betula pendula,50.3,246.2,8.0
Magnolia x soulangeana,50.3,20.0,6.0
Parrotia persica,19.6,15.7,6.0
Parrotia persica,19.6,15.7,5.5
Parrotia persica,28.3,15.7,6.0
Carpinus betulus,4.9,21.5,4.5
Carpinus betulus,4.9,21.5,4.5
Carpinus betulus,3.1,26.5,5.0
Carpinus betulus,7.1,26.5,5.0
Carpinus betulus,3.1,26.5,5.0
Tilia cordata,1.8,4.5,4.0
Tilia cordata,0.8,4.5,4.0
Tilia cordata,12.6,27.9,6.0
Platanus x hispanica,78.5,268.1,11.0
Carpinus betulus,4.9,21.5,4.0
Carpinus betulus,7.1,38.5,4.5
Carpinus betulus,3.1,21.5,4.5
Tilia cordata,7.1,23.1,4.0
Tilia cordata,0.2,8.9,1.0
Tilia cordata,28.3,45.5,6.0
Tilia cordata,1.8,11.7,5.0
Tilia cordata,28.3,60.0,6.0
Tilia cordata,0.8,8.9,4.5
Tilia cordata,0.8,8.9,4.0
Tilia cordata,0.8,8.9,4.5
Tilia cordata,12.6,27.9,4.0
Tilia cordata,12.6,39.0,5.0
Tilia cordata,12.6,27.9,5.0
Tilia cordata,0.8,6.5,4.0
Tilia cordata,12.6,23.1,4.5
Tilia cordata,1.8,8.9,4.0
Tilia cordata,12.6,60.0,5.0
Tilia cordata,1.8,6.5,4.0
Tilia cordata,12.6,68.2,6.0
Tilia cordata,0.8,6.5,4.0
Tilia cordata,0.8,6.5,4.0
Tilia cordata,7.1,11.7,4.0
Tilia cordata,7.1,18.8,5.0
Tilia cordata,12.6,33.2,4.5
Tilia cordata,0.8,4.5,4.0
Tilia cordata,0.8,6.5,4.0
Tilia cordata,0.8,6.5,4.0
Tilia cordata,7.1,27.9,4.0
Tilia cordata,12.6,39.0,4.5
Tilia cordata,0.8,4.5,4.0
Tilia cordata,0.8,4.5,4.0
Tilia cordata,0.8,4.5,4.0
Tilia cordata,0.8,2.9,3.0
Tilia cordata,0.8,2.9,4.0
Tilia cordata,12.6,52.4,5.0
Tilia cordata,1.8,8.9,4.0
Tilia cordata,19.6,45.5,5.0
Tilia platyphyllos,19.6,33.2,6.0
Tilia platyphyllos,19.6,33.2,6.0
Tilia platyphyllos,19.6,33.2,6.0
Tilia platyphyllos,19.6,45.5,6.5
Tilia platyphyllos,19.6,45.5,6.5
Tilia platyphyllos,7.1,8.9,4.0
Tilia platyphyllos,19.6,39.0,6.0
Tilia platyphyllos,12.6,23.1,4.5
Prunus serrulata,28.3,137.0,6.0
Platanus x hispanica,3.1,20.2,7.0
Platanus x hispanica,3.1,20.2,6.0
Platanus x hispanica,3.1,31.3,7.0
Platanus x hispanica,3.1,37.9,8.0
Platanus x hispanica,7.1,25.4,6.0
Platanus x hispanica,7.1,25.4,6.0
Acer pseudoplatanus,1.8,1.3,3.0
Acer pseudoplatanus,50.3,349.5,7.0
Acer pseudoplatanus,12.6,101.1,7.0
Acer pseudoplatanus,28.3,252.8,8.0
Cupressus sempervirens,0.8,33.9,8.0
Cupressus sempervirens,0.8,47.3,9.0
Cupressus sempervirens,0.8,47.3,6.0
Fraxinus excelsior,7.1,8.3,6.0
Fraxinus excelsior,3.1,2.3,4.0
Fraxinus excelsior,19.6,26.5,6.0
Fraxinus ornus,7.1,14.5,6.0
Acer pseudoplatanus,50.3,349.5,7.0
Acer pseudoplatanus,19.6,124.7,7.0
Acer pseudoplatanus,50.3,176.3,10.0
Acer pseudoplatanus,78.5,183.3,12.0
Acer pseudoplatanus,28.3,169.0,8.0
Carpinus betulus,7.1,13.2,6.0
Carpinus betulus,3.1,13.2,6.0
Carpinus betulus,7.1,13.2,6.0
Celtis australis,28.3,26.3,7.0
Tilia cordata,12.6,39.0,6.0
Tilia cordata,12.6,27.9,6.0
Tilia cordata,12.6,39.0,6.0
Tilia cordata,12.6,33.2,6.0
Tilia cordata,12.6,45.5,6.0
Tilia cordata,4.9,27.9,5.0
Tilia cordata,15.9,45.5,6.0
Tilia cordata,7.1,15.0,5.0
Tilia cordata,1.8,6.5,4.0
Tilia cordata,19.6,33.2,5.5
Tilia cordata,12.6,27.9,4.5
Tilia cordata,1.8,6.5,3.5
Tilia cordata,3.1,8.9,4.0
