Tree ID,Name,DBH (cm),Replacement Value (eur),Carbon Storage (kg),Carbon Storage (eur),Gross Carbon Sequestration (kg/yr),Gross Carbon Sequestration (eur/yr),Avoided Runoff (mcube/yr),Avoided Runoff (eur/yr),Carbon Avoided (kg/yr),Carbon Avoided (eur/yr),Pollution Removal (g/yr),Pollution Removal (eur/yr),Energy Savings (eur/yr),Total Annual Benefits (eur/yr),Oxygen Production (kg/yr),Height (m),Crown Height (m),Crown Width (m),Canopy Cover (m2),Leaf Area (m2),Leaf Biomass (kg),Latitude,Longitude
9748.0,Quercus robur,22,1079.44,152.4,24.48,5.5,0.89,0.2,0.4,,,167.1,0.86,,2.15,14.7,7.5,2.3,8,50.3,115.2,7.7,46.04727077190993,11.13119389636686
9749.0,Quercus robur,16,708.15,81.59999999999999,13.12,4,0.65,0.1,0.11,,,44.3,0.23,,0.98,10.8,7,2.1,5,19.6,30.5,2,46.04714716500683,11.13117621485589
9750.0,Quercus robur,18,818.89,102.7,16.51,4.5,0.73,0.2,0.36,,,150.7,0.77,,1.86,12.1,6.5,1.9,8,50.3,103.9,6.9,46.04688279982584,11.13115802975805
9752.0,Quercus robur,16,708.15,81.59999999999999,13.12,4,0.65,0.1,0.2,,,84.3,0.43,,1.28,10.8,7.5,2.3,6.5,33.2,58.1,3.9,46.04673928634356,11.13115082798495
9753.0,Quercus robur,22,1079.44,152.4,24.48,5.5,0.89,0.2,0.43,,,181.3,0.93,,2.25,14.7,7,2.1,9,63.6,125,8.300000000000001,46.04658289613855,11.13113912390155
9754.0,Quercus cerris,5,85.67,12.2,1.97,1.6,0.26,0,0.01,,,2.5,0.01,,0.27,4.2,4,1.2,1,0.8,1.7,0.2,46.0464753113925,11.13114067212684
9755.0,Quercus robur,18,818.89,102.7,16.51,4.5,0.73,0.2,0.29,,,121.8,0.63,,1.65,12.1,8,2.4,8,50.3,84,5.6,46.04633596241125,11.13115146805505
9756.0,Quercus robur,18,818.89,102.7,16.51,4.5,0.73,0.1,0.19,,,78.59999999999999,0.4,,1.32,12.1,8,2.4,6,28.3,54.2,3.6,46.0651637096308,11.13432357485056
9757.0,Prunus cerasifera,20,753.01,115,18.47,4.4,0.7,0,0.04,,,17.6,0.09,,0.83,11.6,4.5,1.3,3,7.1,12.1,0.7,46.06517040577967,11.13424457202487
9758.0,Prunus cerasifera,14,551.17,48.2,7.75,2.6,0.42,0,0.02,,,7.8,0.04,,0.48,7,4,1.2,2,3.1,5.4,0.3,46.06517037759787,11.13417862785718
9759.0,Prunus cerasifera,20,753.01,115,18.47,4.4,0.7,0,0.03,,,12.7,0.07000000000000001,,0.8,11.6,4,1.2,2.5,4.9,8.800000000000001,0.5,46.06517026402135,11.13400161156147
9760.0,Prunus cerasifera,8,136.71,12.3,1.98,1.2,0.19,0,0,,,1.5,0.01,,0.2,3.2,2,0.6,1,0.8,1,0.1,46.06519321784543,11.13378462556357
9762.0,Prunus cerasifera,7.5,120.16,10.6,1.7,1.1,0.17,0,0,,,1.9,0.01,,0.19,2.9,2,0.6,1,0.8,1.3,0.1,46.06520933428634,11.13369758121292
9763.0,Prunus cerasifera,11,476.96,26.8,4.31,1.9,0.3,0,0.02,,,7.3,0.04,,0.35,5,3,0.9,2,3.1,5,0.3,46.06522145360135,11.1336221490779
9764.0,Prunus cerasifera,10,213.61,21.3,3.42,1.6,0.26,0,0.06,,,23.7,0.12,,0.44,4.3,2.5,0.8,3.7,10.6,16.3,1,46.06525878487655,11.13344011071103
9766.0,Prunus cerasifera,5,53.4,3.9,0.63,0.6,0.1,0,0,,,0.5,0,,0.1,1.6,1.5,0.5,0.5,0.2,0.4,0,46.06531353498004,11.1332410291888
9768.0,Prunus cerasifera,10,213.61,21.3,3.42,1.6,0.26,0,0.01,,,3.1,0.02,,0.28,4.3,3,0.9,1,0.8,2.1,0.1,46.06533680616901,11.13318050820721
9769.0,Prunus cerasifera,14,551.17,48.2,7.75,2.6,0.42,0,0.01,,,5.6,0.03,,0.46,7,4.5,1.3,1.5,1.8,3.9,0.2,46.0653669720874,11.13309297042547
9770.0,Prunus cerasifera,16,610.53,66.8,10.73,3.2,0.51,0,0.02,,,10.4,0.05,,0.59,8.5,4,1.2,2.5,4.9,7.2,0.4,46.06539020218976,11.13303464585236
9771.0,Prunus cerasifera,12,499.72,33.1,5.33,2.1,0.34,0,0.02,,,7.9,0.04,,0.4,5.6,4,1.2,2,3.1,5.4,0.3,46.06540871196422,11.13297846676329
9772.0,Prunus cerasifera,10,213.61,21.3,3.42,1.6,0.26,0,0.03,,,11,0.06,,0.34,4.3,3,0.9,2.5,4.9,7.6,0.5,46.06543836875438,11.13291819160772
9773.0,Prunus cerasifera,14,551.17,48.2,7.75,2.6,0.42,0,0.04,,,16.9,0.09,,0.55,7,3.5,1,3.5,9.6,11.7,0.7,46.06546342995888,11.13284855896427
9774.0,Prunus cerasifera,13,524.45,40.3,6.47,2.4,0.38,0,0.05,,,19.2,0.1,,0.52,6.3,4,1.2,3.5,9.6,13.3,0.8,46.0654883608698,11.13278590348682
9775.0,Prunus cerasifera,16,610.53,66.8,10.73,3.2,0.51,0,0.06,,,24.6,0.13,,0.7,8.5,4.5,1.3,4,12.6,16.9,1,46.06552299352817,11.13270978652634
9776.0,Prunus cerasifera,13,524.45,40.3,6.47,2.4,0.38,0,0.05,,,20.7,0.11,,0.54,6.3,4,1.2,4,12.6,14.3,0.9,46.06555133345034,11.13263808187974
9777.0,Prunus cerasifera,16,610.53,66.8,10.73,3.2,0.51,0,0.04,,,15.7,0.08,,0.63,8.5,4,1.2,3,7.1,10.8,0.7,46.065572290007,11.13257617820824
9778.0,Prunus cerasifera,9,173.02,16.5,2.64,1.4,0.23,0,0.04,,,15.2,0.08,,0.34,3.7,2,0.6,3,7.1,10.5,0.6,46.06567029507317,11.13233079014168
9780.0,Prunus cerasifera,7,104.67,8.9,1.43,1,0.16,0,0,,,1.5,0.01,,0.17,2.6,2,0.6,1,0.8,1,0.1,46.06568763332143,11.13229396061528
9781.0,Prunus cerasifera,13,524.45,40.3,6.47,2.4,0.38,0,0.02,,,8.1,0.04,,0.44,6.3,3.5,1,2.5,4.9,5.6,0.3,46.06570581888699,11.13225031072908
9782.0,Prunus cerasifera,24,927.15,179.3,28.8,5.7,0.91,0,0.08,,,33,0.17,,1.16,15.1,5,1.5,4,12.6,22.8,1.4,46.06573156134955,11.13218755666963
9783.0,Prunus cerasifera,17,643.1799999999999,77.40000000000001,12.44,3.5,0.5600000000000001,0,0.05,,,19.9,0.1,,0.71,9.199999999999999,5,1.5,3.5,9.6,13.7,0.8,46.06575880864506,11.13212615352825
9784.0,Prunus cerasifera,17,643.1799999999999,77.40000000000001,12.44,3.5,0.5600000000000001,0,0.07000000000000001,,,29.2,0.15,,0.78,9.199999999999999,5,1.5,4,12.6,20.2,1.2,46.06580125094302,11.13201736466341
9785.0,Prunus cerasifera,6,76.90000000000001,6.1,0.98,0.8,0.13,0,0,,,1.3,0.01,,0.14,2.1,2,0.6,1,0.8,0.9,0.1,46.065823478157,11.1319693446983
9786.0,Prunus cerasifera,7,104.67,8.9,1.43,1,0.16,0,0,,,1.8,0.01,,0.17,2.6,2,0.6,1,0.8,1.3,0.1,46.06584613525753,11.13190310970688
9787.0,Prunus cerasifera,18,677.8099999999999,89,14.29,3.8,0.6,0,0.05,,,21.6,0.11,,0.77,10,4,1.2,3.5,9.6,14.9,0.9,46.06589965505568,11.13175052586782
9789.0,Prunus cerasifera,19,714.42,101.5,16.31,4.1,0.65,0,0.06,,,23.4,0.12,,0.83,10.8,5,1.5,3.5,9.6,16.1,1,46.06593279904673,11.13167215224502
9790.0,Prunus cerasifera,16,610.53,66.8,10.73,3.2,0.51,0,0.04,,,17.1,0.09,,0.64,8.5,4,1.2,3.5,9.6,11.8,0.7,46.06601895374421,11.13146845721368
9792.0,Prunus cerasifera,18,677.8099999999999,89,14.29,3.8,0.6,0,0.02,,,8.6,0.04,,0.67,10,4,1.2,2,3.1,5.9,0.4,46.06604618137919,11.1314080870657
9793.0,Prunus cerasifera,15,579.86,57.1,9.17,2.9,0.47,0,0.02,,,7.5,0.04,,0.52,7.7,4,1.2,2,3.1,5.2,0.3,46.06613727116297,11.13119553004622
9795.0,Prunus cerasifera,14,551.17,48.2,7.75,2.6,0.42,0,0.02,,,7.5,0.04,,0.48,7,3,0.9,2,3.1,5.1,0.3,46.06616069073024,11.13112699627762
9796.0,Prunus cerasifera,14,551.17,48.2,7.75,2.6,0.42,0,0.02,,,10.2,0.05,,0.5,7,3.5,1,2.5,4.9,7,0.4,46.06618953711067,11.13106668812796
9797.0,Prunus cerasifera,16,610.53,66.8,10.73,3.2,0.51,0,0.03,,,13,0.07000000000000001,,0.61,8.5,3,0.9,2.5,4.9,8.9,0.5,46.06624347890892,11.13093002301899
9798.0,Prunus cerasifera,7,104.67,8.9,1.43,1,0.16,0,0.01,,,2.3,0.01,,0.18,2.6,2.5,0.8,1,0.8,1.6,0.1,46.06626496446825,11.13088313741529
9799.0,Prunus cerasifera,6,76.90000000000001,6.1,0.98,0.8,0.13,0,0,,,1.7,0.01,,0.14,2.1,2,0.6,1,0.8,1.2,0.1,46.06628489615517,11.13083270078675
9800.0,Prunus cerasifera,19,714.42,101.5,16.31,4.1,0.65,0,0.04,,,15.8,0.08,,0.77,10.8,5,1.5,3,7.1,10.9,0.7,46.06632408090984,11.13072960315185
9801.0,Prunus cerasifera,20,753.01,115,18.47,4.4,0.7,0,0.05,,,21,0.11,,0.86,11.6,6,1.8,3.5,9.6,14.5,0.9,46.06634979527134,11.13066348473855
9802.0,Prunus cerasifera,12,499.72,33.1,5.33,2.1,0.34,0,0.01,,,4.1,0.02,,0.37,5.6,3,0.9,1.5,1.8,2.8,0.2,46.0664769000611,11.13038740125103
9804.0,Prunus cerasifera,18,677.8099999999999,89,14.29,3.8,0.6,0,0.02,,,10.2,0.05,,0.68,10,4,1.2,2.5,4.9,7,0.4,46.06650353531472,11.13032015420996
9805.0,Prunus cerasifera,14,551.17,48.2,7.75,2.6,0.42,0,0.02,,,7.9,0.04,,0.48,7,3,0.9,2,3.1,5.5,0.3,46.06652850262535,11.13025064475986
9806.0,Prunus cerasifera,20,753.01,115,18.47,4.4,0.7,0,0.03,,,10.5,0.05,,0.78,11.6,4,1.2,2.5,4.9,7.3,0.4,46.06654858902871,11.13019672243016
9807.0,Prunus cerasifera,12,499.72,33.1,5.33,2.1,0.34,0,0.02,,,7.1,0.04,,0.39,5.6,3,0.9,2,3.1,4.9,0.3,46.06657004699297,11.13014647333722
9808.0,Prunus cerasifera,13,524.45,40.3,6.47,2.4,0.38,0,0.02,,,7.7,0.04,,0.44,6.3,3,0.9,2,3.1,5.3,0.3,46.06658849274478,11.13009365152757
9809.0,Prunus cerasifera,13,524.45,40.3,6.47,2.4,0.38,0,0.01,,,2.4,0.01,,0.4,6.3,2.5,0.8,1,0.8,1.6,0.1,46.06663831063678,11.12997053199916
9810.0,Prunus cerasifera,5,53.4,3.9,0.63,0.6,0.1,0,0,,,1.2,0.01,,0.11,1.6,2,0.6,1,0.8,0.9,0.1,46.06667789859601,11.12988438740056
9811.0,Prunus cerasifera,13,524.45,40.3,6.47,2.4,0.38,0,0.01,,,5.9,0.03,,0.42,6.3,2.5,0.8,2,3.1,4.1,0.2,46.06671048479891,11.12979241322223
9812.0,Prunus cerasifera,18,677.8099999999999,89,14.29,3.8,0.6,0,0.02,,,8.1,0.04,,0.66,10,4,1.2,2,3.1,5.5,0.3,46.06682207599049,11.12949866102134
9816.0,Prunus cerasifera,18,677.8099999999999,89,14.29,3.8,0.6,0,0.05,,,20.3,0.1,,0.76,10,5,1.5,3.5,9.6,14,0.9,46.06686499935707,11.12940255839325
